Count	Level	Name	Effect	Type	Timing	Notes
1	3	At The Ready	The next time you lose Priority at a Location, play an extra face-up Backup Plan then flip this card face down.	Future	Early	Engine Starter. Allows for double tableau growth on a loss (one-time).
1	3	Pull Out	The next time you have Priority at a Location, take 1 fewer Mission Rewards to trigger face-up Backup Plans as if you had lost Priority.	Future	Mid	Tension Breaker. Get a reduced reward (1 reward) and also activate all your face-up cards. This is powerful. Should it only activate one BP?
1	3	Snipe	When you have Priority, take 1 extra Mission Reward from your Location. Replace from the bag.	Ongoing	Early	Persistent Engine. Provides a continuous, scalable bonus to wins.
1	3	Decrypt	Intel rewards you gain can be of any type (exchange from the supply).	Ongoing	Early	Rule Changer. Permanent rule modification that guarantees optimal Intel sets, making the primary scoring condition significantly easier. Incentivizes going later in initiative to allow playing this card early.
1	3	Gunning For Promotion	Place a token on this card. At the end of the Operation, convert all tokens here to a single type of Mission Reward of your choice.	Future	Early	Scaling Engine. Accumulates a resource every time a face-up effect is played, paying out a bulk, customizable reward later.
1	3	Support Team	Place a token on a face-up Backup Plan card without a token. When a card with a token is activated, remove the token to activate it again.	Activated	Mid	Combo Multiplier. Allows a key face-up effect to be activated twice.
1	3	Preempt	Swap 1 Mission Reward of your choice with a Mission Reward from the player to your right.	Activated	Mid	High Interaction. Can steal the exact resource an opponent needs to complete an Intel Report.
1	3	Outmaneuver	Swap 1 Mission Reward of your choice with a Mission Reward from the player to your left.	Activated	Mid	High Interaction. Can steal the exact resource an opponent needs to complete an Intel Report.
1	3	Chicken Feed	Give 1 Mission Reward to another player to activate a face-up Backup Plan, or gain 1 Operational Progress or 2 Funding.	Future		Social/costly interaction effect.
1	3	New Orders	When you have Priority at a Location you may instead decide to lose Priority.	Ongoing	Early, Mid	Tactical choice to intentionally lose and trigger face-up effects instead of claiming a prize.
0	1		Move card left when triggered?			
0	1		Double 1 Mission Reward on the card to the right.			
0	3		Copy the Backup Plan to the right of this card.			Combo Duplicator. Duplicates an adjacent effect for double value in one turn.
0	3		Move 1 Reward on each card left in your tableau. When N of the same kind are on the same card, do X.			(why?) Combo Engine. Complex reward management that leads to a huge, scalable bonus (X).
0	1		Block a player from swapping your Mission Rewards.			Feels too situational and underpowered. It also nerfs the other player’s card. Maybe these need to be one-time/reactive? Opportunity cost here feels very high. Maybe play from hand as an interrupt on top of a face-down card?
0	2		Duplicate 1 Mission Reward on the first face-down Backup Plan to the left.	Activated	Mid, Late	
0	2		Duplicate 1 Mission Reward on the first face-down Backup Plan to the right.	Activated	Early, Mid	
0	3	Disguise	You may copy the Priority of the player to your right and then turn this card face down. Ties are resolved in turn order.	Activated	Early, Mid	i.e. next highest priority (or lowest, if have initiative). Win Breaker. Grants a guaranteed win/reward and a face-down play, circumventing the normal priority rules.
0	1	Decoy				
